"","Think_well","Live_well","Feel_well"
"BM000175","4","4","7"
"BM000179","7","5","7"
"BM000186","7","5","7"
"BM000201","5","4","7"
"BM000214","2","4","2"
"BM000217","1","4","1"
"BM000219","8","5","8"
"BM000227","7","7","4"
"BM000228","8","5","8"
"BM000235","4","5","5"
"BM000236","5","5","5"
"BM000242","1","6","1"
"BM000244","7","4","7"
"BM000252","5","6","5"
"BM000256","8","6","8"
"BM000258","7","5","7"
"BM000263","5","4","5"
"BM000269","8","7","7"
"BM000275","5","5","7"
"BM000276","8","7","7"
"BM000279","7","6","5"
"BM000280","5","5","5"
"BM000285","2","3","2"
"BM000288","2","5","4"
"BM000292","5","5","7"
"BM000297","1","5","1"
"BM000304","8","8","8"
"BM000311","8","6","8"
"BM000314","1","3","1"
"BM000317","1","4","1"
"BM000325","4","6","4"
"BM000326","7","6","7"
"BM000334","8","5","7"
"BM000339","5","5","5"
"BM000048","7","4","7"
"BM000051","7","5","7"
"BM000053","7","7","8"
"BM000055","4","6","4"
"BM000056","4","5","8"
"BM000057","7","6","7"
"BM000058","5","7","5"
"BM000070","1","4","2"
"BM000360","7","7","7"
"BM000363","5","6","7"
"BM000366","8","7","7"
"BM000372","5","6","7"
"BM000380","8","7","7"
"BM000387","5","5","7"
"BM000388","8","4","7"
"BM000392","5","6","7"
"BM000394","5","6","7"
"BM000396","7","6","8"
"BM000400","2","4","5"
"BM000404","4","7","2"
"BM000415","5","5","7"
"BM000416","5","7","5"
"BM000420","7","9","5"
"BM000424","8","6","7"
"BM000426","7","8","7"
"BM000431","7","7","7"
"BM000435","7","9","7"
"BM000439","8","9","7"
"BM000444","7","6","5"
"BM000445","5","8","5"
"BM000454","4","4","4"
"BM000456","4","4","1"
"BM000458","8","6","8"
"BM000460","7","6","7"
"BM000462","4","5","2"
"BM000469","4","4","1"
"BM000475","10"," 7"," 7"
"BM000476","4","6","4"
"BM000478","8","6","8"
"BM000483","7","5","5"
"BM000485","5","6","5"
"BM000495","5","6","7"
"BM000496","10"," 6"," 7"
"BM000499","8","8","7"
"BM000079","7","4","7"
"BM000081","5","6","5"
"BM000082","5","5","5"
"BM000085","7","6","5"
"BM000087","4","5","2"
"BM000089","7","7","7"
"BM000597","5","6","7"
"BM000601","7","6","8"
"BM000610","5","4","7"
"BM000612","7","9","4"
"BM000613","1","3","1"
"BM000619","5","6","5"
"BM000620","2","4","2"
"BM000623","7","6","4"
"BM000632","1","3","1"
"BM000635","7","5","8"
"BM000638","5","4","7"
"BM000646","8","7","7"
"BM000648","4","6","7"
"BM000649","5","6","7"
"BM000654","8","6","7"
"BM000657","5","7","4"
"BM000663","7","7","8"
"BM000665","7","4","8"
"BM000672","1","4","2"
"BM000673","5","5","8"
"BM000676","1","3","1"
"BM000681","5","5","7"
"BM000684","1","3","1"
"BM000687","8","7","5"
"BM000688","10"," 7"," 8"
"BM000692","1","3","1"
"BM000700","2","4","1"
"BM000708","8","5","8"
"BM000712","1","3","1"
"BM000715","7","7","8"
"BM000716","7","6","8"
"BM000719","4","6","2"
"BM000720","4","5","1"
"BM000721","8","7","8"
"BM000722","8","7","5"
"BM000727","5","8","8"
"BM000729","7","6","7"
"BM000733","7","7","7"
"BM000734","7","6","7"
"BM000735","5","3","7"
"BM000740","8","5","8"
"BM000743","7","6","8"
"BM000745","8","7","7"
"BM000751","2","5","2"
"BM000756","8","6","8"
"BM000767","7","6","5"
"BM000768","8","6","7"
"BM000892","8","6","7"
"BM000902","2","6","4"
"BM000916","10"," 7"," 8"
"BM000925","7","5","5"
"BM000931","5","5","8"
"BM000948","7","5","7"
"BM000954","10"," 8"," 7"
"BM001069","7","6","5"
"BM001070","7","5","8"
"BM001073","1","4","1"
"BM001078","1","3","1"
"BM001084","5","6","5"
"BM001091","1","4","1"
"BM001093","8","7","8"
"BM001094","1","4","1"
"BM001098","4","4","1"
"BM001103","1","3","1"
"BM001104","8","8","8"
"BM001107","10"," 9"," 7"
"BM001112","8","7","7"
"BM001115","8","6","5"
"BM001116","5","5","7"
"BM001117","5","4","7"
"BM001118","5","4","7"
"BM001119","5","6","5"
"BM001122","7","6","7"
"BM001124","7","6","4"
"BM001125","7","7","7"
"BM001126","1","5","1"
"BM001127","1","6","1"
"BM001128","7","7","2"
"BM001131","7","6","8"
"BM001133","8","5","7"
"BM001134","10"," 7"," 7"
"BM001137","7","6","7"
"BM001140","5","8","7"
"BM001141","1","6","1"
